Title,Score,Link
The EU still wants to scan  your private messages and photos,1429,https://fightchatcontrol.eu/?foo=bar
Wine 11 rewrites how Linux runs Windows games at kernel with massive speed gains,1279,https://www.xda-developers.com/wine-11-rewrites-linux-runs-windows-games-speed-gains/
Goodbye to Sora,1123,https://twitter.com/soraofficialapp/status/2036532795984715896
Thoughts on slowing the fuck down,1076,https://mariozechner.at/posts/2026-03-25-thoughts-on-slowing-the-fuck-down/
"Microsoft's ""fix"" for Windows 11",1040,https://www.sambent.com/microsofts-plan-to-fix-windows-11-is-gaslighting/
Tell HN: Litellm 1.82.7 and 1.82.8 on PyPI are compromised,932,https://github.com/BerriAI/litellm/issues/24512
Running Tesla Model 3's computer on my desk using parts from crashed cars,911,https://bugs.xdavidhu.me/tesla/2026/03/23/running-tesla-model-3s-computer-on-my-desk-using-parts-from-crashed-cars/
Migrating to the EU,910,https://rz01.org/eu-migration/
Why so many control rooms were seafoam green (2025),902,https://bethmathews.substack.com/p/why-so-many-control-rooms-were-seafoam
Personal Encyclopedias,848,https://whoami.wiki/blog/personal-encyclopedias
